train,valid
749236.3896,108482.7773
350413.6035,57490.10156
203064.8086,41811.9375
159940.7656,36293.25781
143522.9609,34763.33984
134177.5039,32316.58984
126876.8398,30710.59375
122405.3066,30543.82031
118362.1191,29354.94141
114477.7266,28801.32813
111837.2031,27790.07031
108612.1816,27229.55859
106418.8828,26828.69141
102331.0859,26126.90625
100329.8379,25397.59766
