train,valid
1002.1461547166109,116.73548216372728
520.2388318628073,107.55138020962477
470.3595222905278,109.97417937964201
441.63581492751837,106.00389355421066
420.06072939932346,111.03837531805038
406.23033299297094,111.58106119185686
396.6575020812452,111.67744053155184
387.19963585212827,108.11605524271727
380.8312615081668,111.14692790806293
372.856167294085,110.03483837842941
367.2878705523908,112.51644954830408
363.2327341809869,113.89589824527502
356.9678983949125,111.36893460154533
352.9334048703313,118.45083548873663
349.32799055054784,110.14623083174229
