train,valid
971210.1582,161535.334
563571.918,89918.99609
310429.1152,53512.53906
203563.623,42610.82422
168123.6113,36024.93359
147265.7324,31153.71875
136698.6094,30042.13281
125355.3164,28249.25781
118590.0547,27830.85156
109223.873,28297.86719
104187.7266,28797.30078
99325.56836,29320.76953
95256.27344,29777.85547
90890.65234,31155.58594
88927.79492,28373.57031
