train,valid
822661.418,137092.6621
519215.6504,111485.4355
430518.7783,87794.55273
332371.666,66868.83203
256550.9482,54137.36328
213902.1016,47503.67188
188159.1172,42470.69531
167902.8916,38744.38867
151656.126,35668.54688
139248.5254,33091.88672
128178.5732,31127.86133
119650.6621,29753.95508
112867.2246,28504.39844
107484.0215,27479.1875
102622.6787,26779.10742
