train,valid
765535.7344,108920.0898
335052.6465,49401.88672
195978.2285,36087.92969
149881.1328,30018.41016
128928.5117,27138.13281
115668.0078,26157.3125
107896.7598,25421.78906
100751.1426,24467.31641
94557.20508,24361.05469
91351.42773,23009.12891
86541.56543,23391.20703
83065.77148,23190.87109
80021.64551,24008.89844
77376.95703,23067.94531
74591.47461,23339.65625
