train,valid
1194.8127474337816,122.97827258706093
556.6109076738358,115.66423022001982
491.5465612486005,107.02643163502216
456.9019531086087,105.43380235880613
435.32926281541586,105.84474913030863
417.9390682056546,105.12930266559124
406.0081268697977,103.02574086934328
392.5119616165757,105.49590028822422
383.59460923820734,109.02485530078411
375.95861784368753,111.81757338345051
369.14403265714645,108.3661857098341
364.03793692588806,114.06792851537466
356.41882341355085,114.572360932827
349.3485637269914,109.31872775405645
346.14306239038706,110.11297432333231
