0
Massachusetts
reader
Communist Party
American
Irish
programmer
computer scientist
John McCarthy
Belmont High School
Jewish
Caltech
Project MAC
MIT
Association for Computing Machinery
John Patrick McCarthy
1978
Stanford
US Army
mountaineer
Boston
atheist
Carolyn Talcott
Lithuanian
John McCarthy*
Vera Watson
